city,zipcode,query,location,coords,city_y,state,country
Fuentes de Andalucía ,41420,Fuentes de Andalucía  41420,"Fuentes de Andalucía, Sevilla, Andalucía, España","(37.4645318, -5.3443621, 0.0)",,Andalucía,España
BOSSOST,255550,BOSSOST 255550,"Bossòst, Val d'Aran, Lleida, Catalunya, 25550, España","(42.7859893, 0.69312, 0.0)",,Catalunya,España
La Parra,06176,La Parra 06176,,,,,
Can picafort,07458,Can picafort 07458,"Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España","(39.76802, 3.1493162, 0.0)",,Illes Balears,España
Lisboa,1300-352,Lisboa 1300-352,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
NAVALVILLAR DE PELA,06760,NAVALVILLAR DE PELA 06760,"Carretera de Navalvillar de Pela a la N-430, Navalvillar de Pela, Badajoz, Extremadura, España","(39.0917032, -5.4467756, 0.0)",,Extremadura,España
Sant just desverm,09960,Sant just desverm 09960,,,,,
Horsham,RH121RD,Horsham RH121RD,,,,,
VILLAMANRIQUE DE LA CONDESA,41850,VILLAMANRIQUE DE LA CONDESA 41850,"Villamanrique de la Condesa, Sevilla, Andalucía, España","(37.2465338, -6.3063633, 0.0)",,Andalucía,España
SEVILLA,41980,SEVILLA 41980,"Sevilla, Facinas, Tarifa, Campo de Gibraltar, Cádiz, Andalucía, 11380, España","(36.1435644, -5.6998468, 0.0)",,Andalucía,España
Massama,2745-733,Massama 2745-733,"Massamá, Massamá e Monte Abraão, Sintra, Lisboa, 2745-862, Portugal","(38.7544218, -9.2812731, 0.0)",Massamá e Monte Abraão,,Portugal
Ragol,04440,Ragol 04440,"Rágol, Venta Gaspar, Almería, Andalucía, 04240, España","(36.8676446, -2.3863176, 0.0)",Almería,Andalucía,España
Marbella,28604,Marbella 28604,"Marbella, Costa del Sol Occidental, Málaga, Andalucía, España","(36.508976, -4.88562, 0.0)",Marbella,Andalucía,España
Coimbra,3000-090,Coimbra 3000-090,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
Sant Pere Molanta ,08799,Sant Pere Molanta  08799,"Sant Pere Molanta, Olèrdola, Alt Penedès, Barcelona, Catalunya, 08798, España","(41.3483449, 1.7398358, 0.0)",Olèrdola,Catalunya,España
BARROMAN,05229,BARROMAN 05229,,,,,
PUIG D'EN VALLS,07813,PUIG D'EN VALLS 07813,"Carretera Puig d'en Valls, Puig d'en Valls, Santa Eulària des Riu, Eivissa, Illes Balears, 07819, España","(38.9259311, 1.440783, 0.0)",,Illes Balears,España
La Herradura,18697,La Herradura 18697,"La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
Cebreros,05620,Cebreros 05620,,,,,
Valdeluz (Yebes),19139,Valdeluz (Yebes) 19139,"Valdeluz, Yebes, Guadalajara, Castilla-La Mancha, 19141, España","(40.5895837, -3.1093066, 0.0)",,Castilla-La Mancha,España
CADIZ,11006,CADIZ 11006,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
LAS CARRERAS,48540,LAS CARRERAS 48540,"Las Carreras, Serón de Nágima, Castilla y León, España","(41.5086496, -2.155964, 0.0)",Serón de Nágima,Castilla y León,España
Barrax,02639,Barrax 02639,"Barrax, Albacete, Castilla-La Mancha, España","(39.0460357, -2.2004126, 0.0)",,Castilla-La Mancha,España
Trasierra,06909,Trasierra 06909,,,,,
INCA,073OO,INCA 073OO,,,,,
Son Servera,07550,Son Servera 07550,"Son Vives d'abaix, camí vell de Son Servera, Sant Llorenç des Cardassar, Llevant, Illes Balears, 07530, España","(39.615192199999996, 3.304573251420459, 0.0)",Sant Llorenç des Cardassar,Illes Balears,España
Valencia,38005,Valencia 38005,"Carrer de València, el Camp de l'Arpa del Clot, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","(41.4090235, 2.185161, 0.0)",Barcelona,Catalunya,España
VILLAVERDE DEL RIO ,41318,VILLAVERDE DEL RIO  41318,"Villaverde del Río, Sevilla, Andalucía, España","(37.591905, -5.875939, 0.0)",,Andalucía,España
L´Hospitalet de Llobregat,08906,L´Hospitalet de Llobregat 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
"Ealing, London",W52BE ,"Ealing, London W52BE ",,,,,
Riopar,02405,Riopar 02405,"Riópar, Albacete, Castilla-La Mancha, 02450, España","(38.4984526, -2.4179213, 0.0)",,Castilla-La Mancha,España
Coimbra,3000-075,Coimbra 3000-075,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
07150 Andratx,Spain,07150 Andratx Spain,"Andratx, Serra de Tramuntana, Illes Balears, 07150, España","(39.5992065, 2.4279318162280377, 0.0)",Andratx,Illes Balears,España
Malaga,291017,Malaga 291017,"Malaga, Rota, Costa Noroeste, Cádiz, Andalucía, 11520, España","(36.625002, -6.3607734, 0.0)",,Andalucía,España
San Isidro,03349,San Isidro 03349,"Santo Isidro, Santa María de Neda, Neda, Ferrol, A Coruña, Galicia, 15510, España","(43.4970436, -8.1535677, 0.0)",,Galicia,España
Arbo,36435,Arbo 36435,"Arbo, A Paradanta, Pontevedra, Galicia, España","(42.1122944, -8.3123868, 0.0)",,Galicia,España
Cadiz,11008,Cadiz 11008,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Almería,04002,Almería 04002,"Almería, Andalucía, 04002, España","(36.837114053125, -2.478063749375124, 0.0)",Almería,Andalucía,España
LETUR,02434,LETUR 02434,"Letur, Albacete, Castilla-La Mancha, España","(38.3661263, -2.1009182, 0.0)",,Castilla-La Mancha,España
CADIZ,11009,CADIZ 11009,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
VILLABUENA DEL PUENTE,49820,VILLABUENA DEL PUENTE 49820,"Villabuena del Puente, Zamora, Castilla y León, España","(41.3795632, -5.4089484, 0.0)",,Castilla y León,España
San Carlos del Valle,13247,San Carlos del Valle 13247,"San Carlos del Valle, Campo de Montiel, Ciudad Real, Castilla-La Mancha, España","(38.8443306, -3.2416783, 0.0)",,Castilla-La Mancha,España
11111,3333333,11111 3333333,"Via Piero della Francesca, Sarpi, Municipio 8, Milano, Lombardia, 20155, Italia","(45.4834377, 9.1646317, 0.0)",Milano,Lombardia,Italia
Guadajira,06187,Guadajira 06187,,,,,
VILLANUEVA DEL ROSARIO,29312,VILLANUEVA DEL ROSARIO 29312,"Villanueva del Rosario, Nororma, Málaga, Andalucía, España","(36.998599, -4.3660482, 0.0)",,Andalucía,España
Barrika,48650,Barrika 48650,"Barrika, Bizkaia, Euskadi, España","(43.4066267, -2.9609879, 0.0)",,Euskadi,España
BENIJOFAR,03178,BENIJOFAR 03178,"Benijófar, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03078, España","(38.0789755, -0.7384165, 0.0)",,Comunitat Valenciana,España
LA MURADA,03315,LA MURADA 03315,"La Murada, Orihuela, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03316, España","(38.1708612, -0.9635764, 0.0)",,Comunitat Valenciana,España
Ponferrada,1403,Ponferrada 1403,"Ponferrada, El Bierzo, León, Castilla y León, 24402, España","(42.5454124, -6.5938719, 0.0)",Ponferrada,Castilla y León,España
Trigueros ,21620,Trigueros  21620,"Trigueros, Torreiglesias, Segovia, Castilla y León, 40351, España","(41.1473983, -4.0663694, 0.0)",,Castilla y León,España
Castilleja de Guzman,41908,Castilleja de Guzman 41908,"Castilleja de Guzmán, Sevilla, Andalucía, España","(37.4084162, -6.0573214, 0.0)",,Andalucía,España
SAN ISIDRO,03349,SAN ISIDRO 03349,"Santo Isidro, Santa María de Neda, Neda, Ferrol, A Coruña, Galicia, 15510, España","(43.4970436, -8.1535677, 0.0)",,Galicia,España
VIANA DO CASTELO,4900-926,VIANA DO CASTELO 4900-926,"Viana do Castelo, Portugal","(41.7181408, -8.76372365182443, 0.0)",,,Portugal
coimbra,3020-171,coimbra 3020-171,"Coimbra, Portugal","(40.2111931, -8.4294632, 0.0)",Coimbra,,Portugal
villanueva del rosario,29312,villanueva del rosario 29312,"Villanueva del Rosario, Nororma, Málaga, Andalucía, España","(36.998599, -4.3660482, 0.0)",,Andalucía,España
Madrid,28294,Madrid 28294,"Madrid, El Álamo, Comarca Sur, Comunidad de Madrid, 28607, España","(40.232844, -3.9814541, 0.0)",,Comunidad de Madrid,España
San Pedro Alcantara,295670,San Pedro Alcantara 295670,"McAuto San Pedro de Alcantara Marbella, San Pedro de Alcántara, Marbella, Costa del Sol Occidental, Málaga, Andalucía, 29670, España","(36.4795089, -4.9943859, 0.0)",Marbella,Andalucía,España
Ayna,02125,Ayna 02125,"Aýna, Albacete, Castilla-La Mancha, España","(38.5532769, -2.0715082, 0.0)",Aýna,Castilla-La Mancha,España
Villa de Soto,24347,Villa de Soto 24347,"Villa de Soto, Vega de Infanzones, León, Castilla y León, 24346, España","(42.505273, -5.5394818, 0.0)",,Castilla y León,España
Valladolid ,47152,Valladolid  47152,"Valladolid, Milles de la Polvorosa, Zamora, Castilla y León, 49698, España","(41.9367267, -5.760629, 0.0)",,Castilla y León,España
La Zaida,50784,La Zaida 50784,"La Zaida, Ribera Baja del Ebro, Zaragoza, Aragón, España","(41.3277906, -0.4297406, 0.0)",,Aragón,España
Casas de Vés,02212,Casas de Vés 02212,"Casas de Ves, Albacete, Castilla-La Mancha, España","(39.2588234, -1.3328623, 0.0)",,Castilla-La Mancha,España
Lisboa,1649-016 LIsboa,Lisboa 1649-016 LIsboa,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Estoril,2765-383 Estoril,Estoril 2765-383 Estoril,"Estoril, Cascais e Estoril, Cascais, Lisboa, 2765-607, Portugal","(38.7042261, -9.3983152, 0.0)",Cascais e Estoril,,Portugal
Santa Eulalia Del Río ,07849,Santa Eulalia Del Río  07849,"Santa Eulària des Riu, Eivissa, Illes Balears, España","(38.9869735, 1.500017, 0.0)",,Illes Balears,España
Poio ,36995,Poio  36995,"Poio, Pontevedra, Galicia, España","(42.4332306, -8.6590994, 0.0)",,Galicia,España
Rianxo,15920,Rianxo 15920,"Rianxo, A Barbanza, A Coruña, Galicia, 15920, España","(42.6488711, -8.8173676, 0.0)",,Galicia,España
PORTOCOLOM,07670,PORTOCOLOM 07670,"Portocolom, Felanich, Migjorn, Illes Balears, 07670, España","(39.4260949, 3.2647278, 0.0)",,Illes Balears,España
Braga,4710-340,Braga 4710-340,"Braga, Portugal","(41.5510583, -8.4280045, 0.0)",Braga,,Portugal
Basingstoke,RG217AX,Basingstoke RG217AX,,,,,
Ovar,3880-205,Ovar 3880-205,"Ovar, Aveiro, Portugal","(40.84584435, -8.648528873790857, 0.0)",Ovar,,Portugal
"La Mata, Torrevieja",03188,"La Mata, Torrevieja 03188","La Mata, Torrevieja, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03188, España","(38.0270781, -0.654673, 0.0)",,Comunitat Valenciana,España
Cudillero,33159,Cudillero 33159,"Cudillero, Asturias / Asturies, España","(43.54335745, -6.1936313237885, 0.0)",Cudillero,Asturias / Asturies,España
Castilleja de Guzmán ,41908 ,Castilleja de Guzmán  41908 ,"Castilleja de Guzmán, Sevilla, Andalucía, España","(37.4084162, -6.0573214, 0.0)",,Andalucía,España
BCN,08754,BCN 08754,,,,,
Vila Nova de Gaia,4400-346,Vila Nova de Gaia 4400-346,"Vila Nova de Gaia, Porto, Portugal","(41.1300103, -8.6058415, 0.0)",Vila Nova de Gaia,,Portugal
L' Hospitalet,08906,L' Hospitalet 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Hospitalet del llobregat,08906,Hospitalet del llobregat 08906,"Bombers l'Hospitalet de Llobregat, 8, Avinguda del Masnou, les Planes, Districte IV, l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, 08905, España","(41.36989705, 2.106033642485514, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Puigdàlber ,08797,Puigdàlber  08797,,,,,
Fuentes de Andalucía,41420,Fuentes de Andalucía 41420,"Fuentes de Andalucía, Sevilla, Andalucía, España","(37.4645318, -5.3443621, 0.0)",,Andalucía,España
Estremoz,7100-600,Estremoz 7100-600,"Estremoz, Évora, Portugal","(38.8432944, -7.586907, 0.0)",Estremoz,,Portugal
ALCOLEA DE CALATRAVA,13107,ALCOLEA DE CALATRAVA 13107,"Alcolea de Calatrava, Campo de Calatrava, Ciudad Real, Castilla-La Mancha, España","(38.9861733, -4.1152469, 0.0)",,Castilla-La Mancha,España
LIGARES,5180301,LIGARES 5180301,"Ligares, Freixo de Espada à Cinta, Bragança, 5180-301, Portugal","(41.0876214, -6.966732, 0.0)",,,Portugal
la herradura,18697,la herradura 18697,"La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
SELGUA,25415,SELGUA 25415,"Selgua, Monzón, Cinca Medio, Huesca, Aragón, España","(41.9298131, 0.1187522, 0.0)",,Aragón,España
Lisboa,1750-101 Lisboa,Lisboa 1750-101 Lisboa,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Moita,2860-579 - Moita,Moita 2860-579 - Moita,"Moita, Santo Estêvão e Moita, Sabugal, Guarda, Portugal","(40.2996865, -7.197239989745814, 0.0)",Santo Estêvão e Moita,,Portugal
LA Sabinita ,38589,LA Sabinita  38589,"La Sabinita, Mirador de la Sabinita, Polegre, Arico Viejo, Arico, Santa Cruz de Tenerife, Canarias, 38589, España","(28.174247, -16.4900425, 0.0)",Arico,,España
Las palmas de gran canaria ,35007,Las palmas de gran canaria  35007,"Las Palmas de Gran Canaria, Las Palmas, Canarias, España","(28.1288694, -15.4349015, 0.0)",Las Palmas de Gran Canaria,,España
ALICANTE,003540,ALICANTE 003540,"Alicante, San Antonio de Requena, La Plana de Utiel-Requena, València / Valencia, Comunitat Valenciana, 46390, España","(39.522866, -1.1522532, 0.0)",,Comunitat Valenciana,España
Calgary,T3E 2Y1,Calgary T3E 2Y1,,,,,
Almendral de la Cañada ,45631,Almendral de la Cañada  45631,"Almendral de la Cañada, Sierra de San Vicente, Toledo, Castilla-La Mancha, España","(40.1830548, -4.7408516, 0.0)",,Castilla-La Mancha,España
Lagos,8600-773,Lagos 8600-773,"Lagos, São Gonçalo de Lagos, Lagos, Faro, 8600-583, Portugal","(37.1010903, -8.6724909, 0.0)",Lagos,,Portugal
Badajoz ,06490,Badajoz  06490,"Badajoz, Tierra de Badajoz, Badajoz, Extremadura, España","(38.8780585, -6.9702048, 0.0)",Badajoz,Extremadura,España
Barcelona,O8010,Barcelona O8010,,,,,
Hospitalet de llobregat,08906,Hospitalet de llobregat 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Ourense,32940,Ourense 32940,"Ligazón AP-53;AG-59 A Estrada;Lalín;Ourense, Lamas de Abade, O Eixo, Santiago de Compostela, Santiago, A Coruña, Galicia, 15894, España","(42.8570034, -8.5300747, 0.0)",Santiago de Compostela,Galicia,España
Cádiz ,11006,Cádiz  11006,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Sitges,O8870,Sitges O8870,,,,,
Azlor,22311,Azlor 22311,"Azlor, Somontano de Barbastro, Huesca, Aragón, España","(42.0949611, -0.0440883, 0.0)",,Aragón,España
Setúbal,2900-999,Setúbal 2900-999,"Setúbal, Portugal","(38.5241783, -8.8932341, 0.0)",Setúbal,,Portugal
Cherepovets,162626,Cherepovets 162626,,,,,
Madrid,28610,Madrid 28610,"Madrid, El Álamo, Comarca Sur, Comunidad de Madrid, 28607, España","(40.232844, -3.9814541, 0.0)",,Comunidad de Madrid,España
Santa Cruz de Tenerife,38005,Santa Cruz de Tenerife 38005,"Santa Cruz de Tenerife, Canarias, España","(28.499389700000002, -16.232933464784338, 0.0)",Santa Cruz de Tenerife,,España
Ca'n Picafort,07458,Ca'n Picafort 07458,"Ca'n Picafort, carrer del Mercat, sa Pobla, Raiguer, Illes Balears, 07420, España","(39.771272, 3.0268829, 0.0)",sa Pobla,Illes Balears,España
Maia,4470-147,Maia 4470-147,"Cidade da Maia, Maia, Porto, Portugal","(41.232208, -8.6273183, 0.0)",Cidade da Maia,,Portugal
HANGZHOU,310012,HANGZHOU 310012,,,,,
Moscow,111672,Moscow 111672,,,,,
Murcia,30107 ,Murcia 30107 ,"Murcia, Área Metropolitana de Murcia, Región de Murcia, España","(37.9923795, -1.1305431, 0.0)",Murcia,Región de Murcia,España
Huesa,23487,Huesa 23487,"Huesa, Almoguera, Guadalajara, Castilla-La Mancha, España","(40.3083163, -2.9732919, 0.0)",,Castilla-La Mancha,España
Cartagena,30868,Cartagena 30868,"Cartagena, Ejea de los Caballeros, Cinco Villas, Zaragoza, Aragón, 50600, España","(42.0919763, -1.1193502, 0.0)",,Aragón,España
Dalias,04750,Dalias 04750,,,,,
London,Sw65bg,London Sw65bg,,,,,
Khimki,141402,Khimki 141402,,,,,
EL BALLESTERO ,02614,EL BALLESTERO  02614,"El Ballestero, Alloza, Andorra-Sierra de Arcos, Teruel, Aragón, 44509, España","(40.9656113, -0.5033193, 0.0)",,Aragón,España
Lisboa,1750-129 Lisboa,Lisboa 1750-129 Lisboa,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Póvoa de Santa Iria,2625-095,Póvoa de Santa Iria 2625-095,"Póvoa de Santa Iria, Póvoa de Santa Iria e Forte da Casa, Vila Franca de Xira, Lisboa, 2625-204, Portugal","(38.8620887, -9.0709905, 0.0)",Póvoa de Santa Iria,,Portugal
Beja,7800-062,Beja 7800-062,"Beja, Portugal","(38.0154479, -7.8650368, 0.0)",Beja,,Portugal
Moscú,108814,Moscú 108814,,,,,
porto,4150-044,porto 4150-044,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Yuzhny,65481,Yuzhny 65481,,,,,
Villarta de los Montes ,06678,Villarta de los Montes  06678,"Villarta de los Montes, Badajoz, Extremadura, España","(39.2134895, -4.7924875, 0.0)",,Extremadura,España
el ballestero,02614,el ballestero 02614,"El Ballestero, Alloza, Andorra-Sierra de Arcos, Teruel, Aragón, 44509, España","(40.9656113, -0.5033193, 0.0)",,Aragón,España
Cabeza la Vaca,06293,Cabeza la Vaca 06293,"Cementerio Municipal de Cabeza la Vaca, Cabeza la Vaca, Badajoz, Extremadura, España","(38.09327115, -6.41695675, 0.0)",,Extremadura,España
Mongkok,999077,Mongkok 999077,,,,,
L'HOSPITALET DE LLOBREGA,08901,L'HOSPITALET DE LLOBREGA 08901,,,,,
Helechosa de los Montes,06692,Helechosa de los Montes 06692,"De Bohonal (Helechosa de los Montes) a BA-050, Bohonal, Helechosa de los Montes, Badajoz, Extremadura, España","(39.3357164, -4.7492775, 0.0)",,Extremadura,España
Lisboa,1050-098,Lisboa 1050-098,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Lisboa,1070-012,Lisboa 1070-012,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Villamayor de Santiago,16415,Villamayor de Santiago 16415,"Villamayor de Santiago, Cuenca, Castilla-La Mancha, España","(39.7286889, -2.9270441, 0.0)",,Castilla-La Mancha,España
HOSPITALET,08901,HOSPITALET 08901,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
lisboa,1150-023,lisboa 1150-023,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
VALENCIA ,46009 46009 ,VALENCIA  46009 46009 ,"València, Comarca de València, València / Valencia, Comunitat Valenciana, España","(39.4697065, -0.3763353, 0.0)",València,Comunitat Valenciana,España
Santa Cruz de Tenerife,38129,Santa Cruz de Tenerife 38129,"Santa Cruz de Tenerife, Canarias, España","(28.499389700000002, -16.232933464784338, 0.0)",Santa Cruz de Tenerife,,España
Burgos,090097,Burgos 090097,,,,,
Porto,4150-074,Porto 4150-074,"Porto, Portugal","(41.1494512, -8.6107884, 0.0)",Porto,,Portugal
Moscow,109451,Moscow 109451,,,,,
Yoshkar-Ola,424038,Yoshkar-Ola 424038,,,,,
Novosibirsk,630099,Novosibirsk 630099,,,,,
Lisboa,2685-116 Sacavém,Lisboa 2685-116 Sacavém,"Sacavém, Loures, Lisboa, 2685-068, Portugal","(38.7948664, -9.1047215, 0.0)",Sacavém,,Portugal
Villafranca Del Campo,44394,Villafranca Del Campo 44394,"Villafranca del Campo, Jiloca, Teruel, Aragón, España","(40.691670599999995, -1.3743073548834241, 0.0)",Villafranca del Campo,Aragón,España
BAIÑA - MIERES,33682,BAIÑA - MIERES 33682,"Baíña, Mieres, Asturias / Asturies, 33660, España","(43.2750963, -5.8304436, 0.0)",Mieres,Asturias / Asturies,España
TORAL DE LOS GUZMANES,24237,TORAL DE LOS GUZMANES 24237,"Toral de los Guzmanes, León, Castilla y León, España","(42.2428548, -5.5671476, 0.0)",,Castilla y León,España
Villalba de los Barros,06208,Villalba de los Barros 06208,"Calle Villalba de los Barros, Solana de los Barros, Tierra de Barros, Badajoz, Extremadura, España","(38.7240621, -6.5394375, 0.0)",,Extremadura,España
Cádiz ,11009,Cádiz  11009,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
