city,zipcode,query,location,coords,city_y,state,country
Elche,03292,Elche 03292,"Elche, Wethau, Wethautal, Burgenlandkreis, Sachsen-Anhalt, 06618, Deutschland","(51.1398219, 11.8600217, 0.0)",Wethau,Sachsen-Anhalt,Deutschland
Torre del Burgo,19197,Torre del Burgo 19197,"Torre del Burgo, Guadalajara, Castilla-La Mancha, España","(40.7945892, -3.0795869, 0.0)",,Castilla-La Mancha,España
Monterrubio de la Serena,06427,Monterrubio de la Serena 06427,,,,,
Villagarcia del Llano,16236,Villagarcia del Llano 16236,"Villagarcía del Llano, Cuenca, Castilla-La Mancha, España","(39.3264982, -1.8468439, 0.0)",,Castilla-La Mancha,España
"Almuñecar, La Herradura",18697,"Almuñecar, La Herradura 18697","La Herradura, Almuñécar, Comarca de la Costa Granadina, Granada, Andalucía, 18697, España","(36.7345524, -3.7379332, 0.0)",,Andalucía,España
Yebes,19139,Yebes 19139,"Yebes, Guadalajara, Castilla-La Mancha, 19141, España","(40.5331907, -3.1107441, 0.0)",,Castilla-La Mancha,España
La Villa de Don Fadrique,45850,La Villa de Don Fadrique 45850,"La Villa de Don Fadrique, Mancha Alta de Toledo, Toledo, Castilla-La Mancha, España","(39.6180333, -3.2182294, 0.0)",La Villa de Don Fadrique,Castilla-La Mancha,España
"Clachan-Seil, Oban",PA34 4TR,"Clachan-Seil, Oban PA34 4TR",,,,,
RIANXO,15985,RIANXO 15985,"Rianxo, Piloño, Vila de Cruces, O Deza, Pontevedra, Galicia, 36586, España","(42.809038, -8.2752387, 0.0)",,Galicia,España
Castellbisbal,09755,Castellbisbal 09755,,,,,
Cadiz,11009,Cadiz 11009,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Valdeluz,19139,Valdeluz 19139,"Valdeluz, Caspe, Bajo Aragón-Caspe / Baix Aragó-Casp, Zaragoza, Aragón, España","(41.2358561, 0.0043688, 0.0)",,Aragón,España
hospitalet de llobregat,08906,hospitalet de llobregat 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
El castillo de las guardas ,41890,El castillo de las guardas  41890,"El Castillo de las Guardas, Sevilla, Andalucía, España","(37.6936222, -6.3139109, 0.0)",,Andalucía,España
Tomar,2330-511 Tomar,Tomar 2330-511 Tomar,"Tomar (São João Baptista) e Santa Maria dos Olivais, Tomar, Santarém, Portugal","(39.597708850000004, -8.396945699522295, 0.0)",Tomar,,Portugal
Hospitalet de Llobregat,08906,Hospitalet de Llobregat 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Las Palmas,35006,Las Palmas 35006,"Las Palmas de Gran Canaria, Las Palmas, Canarias, España","(28.1288694, -15.4349015, 0.0)",Las Palmas de Gran Canaria,,España
